sol_id,power,kill_count
4,1,0
5,1,3
6,1,1
9,1,1
12,1,1
13,1,2
18,1,3
20,1,0
21,1,0
27,1,3
30,1,2
31,1,2
32,1,1
34,1,1
35,1,2
36,1,2
39,1,1
40,1,2
